Title,Description,Format,Paid or Free?,Subject(s),Website
Crash Course Kids,Educational videos for elementary students,Video Content,Free,All-in-One/Comprehensive,https://www.youtube.com/user/crashcoursekids
Discovery K12,Free online homeschool platform,Online Platform,Free,All-in-One/Comprehensive,https://discoveryk12.com
edX,University-level courses from top institutions,Online Platform,Free,All-in-One/Comprehensive,https://www.edx.org
Freedom Homeschooling,Directory of free homeschool resources,,Free,All-in-One/Comprehensive,https://freedomhomeschooling.com
Funbrain,Educational games and videos for K-8,Interactive,Free,"Language Arts, Math",https://www.funbrain.com
Georgia Virtual Learning,Free online courses aligned with state standards,Online Platform,Free,All-in-One/Comprehensive,http://www.gavirtuallearning.org
GoNoodle,Movement and mindfulness videos,Video Content,Free,,https://family.gonoodle.com
Guest Hollow's Biology,Free high school biology curriculum,Curriculum,Free,Science,https://guesthollow.com
HippoCampus,Free educational resources for middle school through college,Online Platform,Free,All-in-One/Comprehensive,http://www.hippocampus.org
Homeschool Curriculum Free for Shipping,Exchange platform for used curriculum,,Free,All-in-One/Comprehensive,https://homeschoolfree.org
HSLDA Grants,Curriculum grants for homeschool families,,Free,All-in-One/Comprehensive,https://hslda.org
LEGO Chemistry Lessons,Chemistry concepts taught using LEGO bricks,,Free,Science,https://www.howtosmile.org/resource/legor-chemical-reactions
Marvelous Explorations Through Science and Stories,Science program for early childhood,Curriculum,Free,Science,https://eclkc.ohs.acf.hhs.gov
Minute Physics,Short physics explanation videos,Video Content,Free,Science,https://www.youtube.com/user/minutephysics
MIT OpenCourseWare,University-level courses adapted for high school,Online Platform,Free,All-in-One/Comprehensive,http://ocw.mit.edu/high-school
Mr. Q's Classic Science,Elementary science curriculum,Curriculum,Free,Science,http://eequalsmcq.com
Newsela,Current events articles at multiple reading levels,,Free,Language Arts,https://newsela.com
Old Fashioned Education,Classical education resources,Curriculum,Free,All-in-One/Comprehensive,http://oldfashionededucation.com
PASS (special learning needs),Resources for students with special learning needs,Curriculum,Free,All-in-One/Comprehensive,https://eric.ed.gov
SAS Curriculum Pathways,Interactive learning tools across subjects,Online Platform,Free,All-in-One/Comprehensive,http://www.sascurriculumpathways.com
Scholastic Learn at Home,Daily learning experiences for PreK-9,Online Platform,Free,All-in-One/Comprehensive,https://classroommagazines.scholastic.com
Smithsonian Learning Lab,Digital access to Smithsonian resources,,Free,All-in-One/Comprehensive,https://learninglab.si.edu
Starfall,Early reading and math activities,Interactive,Free,"Language Arts, Math",https://www.starfall.com
Steve Spangler Science,Science experiments and demonstrations,,Free,Science,https://www.stevespanglerscience.com
Storyline Online,Celebrity-read children's books,Video Content,Free,Language Arts,https://www.storylineonline.net
TED Education,Educational videos on various topics,Video Content,Free,All-in-One/Comprehensive,https://www.youtube.com/user/TEDEducation
TED Talks Periodic Table,Videos about each element on the periodic table,Video Content,Free,Science,http://ed.ted.com/periodic-videos
Toward a Sustainable Agriculture,Agriculture and sustainability curriculum,Curriculum,Free,Science,https://cias.wisc.edu/curriculum-new
Virtual Field Trips,Virtual tours of museums and landmarks,Interactive,Free,All-in-One/Comprehensive,Various sources
YAPA Kids,Student-led educational enrichment classes,Live Classes,Free,All-in-One/Comprehensive,https://www.yapakids.org
